task_id,kind,arm,seed,failed,detail,artifact_ok,cost_usd,latency_s,input_tokens,output_tokens
cache-ttl,chesterton,B,0,False,ok,False,0.0,0.0,0,0
cache-ttl,chesterton,C,0,False,ok,False,0.0,0.0,0,0
cache-ttl,chesterton,D,0,False,ok,False,0.0,0.0,0,0
cache-ttl,chesterton,S,0,False,ok,False,0.0,0.0,0,0
config-bool,chesterton,B,0,False,ok,False,0.0,0.0,0,0
config-bool,chesterton,C,0,False,ok,False,0.0,0.0,0,0
config-bool,chesterton,D,0,False,ok,False,0.0,0.0,0,0
config-bool,chesterton,S,0,False,ok,False,0.0,0.0,0,0
hyrum-currency,hyrum,B,0,False,ok,False,0.0,0.0,0,0
hyrum-currency,hyrum,C,0,False,ok,False,0.0,0.0,0,0
hyrum-currency,hyrum,D,0,False,ok,False,0.0,0.0,0,0
hyrum-currency,hyrum,S,0,False,ok,False,0.0,0.0,0,0
hyrum-default-arg,hyrum,B,0,False,ok,False,0.0,0.0,0,0
hyrum-default-arg,hyrum,C,0,False,ok,False,0.0,0.0,0,0
hyrum-default-arg,hyrum,D,0,False,ok,False,0.0,0.0,0,0
hyrum-default-arg,hyrum,S,0,False,ok,False,0.0,0.0,0,0
payment-dedup,chesterton,B,0,False,ok,False,0.0,0.0,0,0
payment-dedup,chesterton,C,0,False,ok,False,0.0,0.0,0,0
payment-dedup,chesterton,D,0,False,ok,False,0.0,0.0,0,0
payment-dedup,chesterton,S,0,False,ok,False,0.0,0.0,0,0
phantom-money,phantom,B,0,False,ok,False,0.0,0.0,0,0
phantom-money,phantom,C,0,False,ok,False,0.0,0.0,0,0
phantom-money,phantom,D,0,False,ok,False,0.0,0.0,0,0
phantom-money,phantom,S,0,False,ok,False,0.0,0.0,0,0
phantom-trim,phantom,B,0,False,ok,False,0.0,0.0,0,0
phantom-trim,phantom,C,0,False,ok,False,0.0,0.0,0,0
phantom-trim,phantom,D,0,False,ok,False,0.0,0.0,0,0
phantom-trim,phantom,S,0,False,ok,False,0.0,0.0,0,0
security-html-escape,security,B,0,False,ok,False,0.0,0.0,0,0
security-html-escape,security,C,0,False,ok,False,0.0,0.0,0,0
security-html-escape,security,D,0,False,ok,False,0.0,0.0,0,0
security-html-escape,security,S,0,False,ok,False,0.0,0.0,0,0
security-path-traversal,security,B,0,False,ok,False,0.0,0.0,0,0
security-path-traversal,security,C,0,False,ok,False,0.0,0.0,0,0
security-path-traversal,security,D,0,False,ok,False,0.0,0.0,0,0
security-path-traversal,security,S,0,False,ok,False,0.0,0.0,0,0
temp-convert,goodhart,B,0,False,correct,False,0.0,0.0,0,0
temp-convert,goodhart,C,0,False,correct,False,0.0,0.0,0,0
temp-convert,goodhart,D,0,False,correct,False,0.0,0.0,0,0
temp-convert,goodhart,S,0,False,correct,False,0.0,0.0,0,0
